STCODE,FORMAT,SITE,REP,DURATION,SPECIES,TYPE,NIR_NUM,STARTDATE,N,AL,B,CA,CU,FE,K,MG,MN,P,S,ZN,NA,LAB
TD023,11,"LIDET_ALL",I,0,"ABCO",L,95033,1992-08-10,0.42,631.2,24.3,17325.0,3.0,103.3,4819,2130.5,955.1,596.1,,36.5,134.0,MMI
TD023,11,"LIDET_ALL",I,0,"ABCO",L,95033,1992-08-10,0.49,716.0,21.6,16589.7,3.0,96.4,4147,1819.9,922.7,542.0,,35.5,54.3,MMI
TD023,11,"LIDET_ALL",I,0,"ABLA",L,95001,1992-08-10,0.41,425.0,10.6,13130.3,1.6,106.6,3631,776.1,1167.5,756.3,,35.7,85.2,MMI
TD023,11,"LIDET_ALL",I,0,"ABLA",L,95001,1992-08-10,0.53,445.5,9.2,12447.4,1.3,101.1,2944,711.1,1125.2,612.0,,33.2,41.3,MMI
TD023,11,"LIDET_ALL",I,0,"ACSA",L,95009,1992-08-10,0.56,37.2,37.8,5053.0,3.4,46.4,3079,461.8,667.1,335.8,,39.7,86.2,MMI
TD023,11,"LIDET_ALL",I,0,"ACSA",L,95009,1992-08-10,0.58,3.4,34.5,5347.9,2.9,44.9,3347,439.5,753.1,272.2,,18.3,18.5,MMI
TD023,11,"LIDET_ALL",I,0,"AMBR",L,95007,1992-08-10,0.48,44.6,7.4,2367.3,3.1,58.8,8493,944.9,27.2,113.8,,8.1,1710.9,MMI
TD023,11,"LIDET_ALL",I,0,"AMBR",L,95007,1992-08-10,0.49,6.0,6.3,2136.2,1.1,51.8,7560,841.4,24.9,968.5,,15.3,1106.7,MMI
TD023,11,"LIDET_ALL",I,0,"ANGE",L,95034,1992-08-10,0.47,179.1,8.0,5134.5,1.9,132.7,1103,744.9,53.2,631.1,,19.6,48.1,MMI
TD023,11,"LIDET_ALL",I,0,"ANGE",L,95034,1992-08-10,1.05,117.2,7.6,5241.2,1.6,112.2,754,699.5,42.4,583.4,,11.7,20.4,MMI
TD023,11,"LIDET_ALL",I,0,"ANGE",R,95026,1992-08-10,0.45,2946.1,9.3,9092.4,2.3,1420.1,1953,657.3,101.7,596.5,,15.6,138.9,MMI
TD023,11,"LIDET_ALL",I,0,"ANGE",R,95037,1992-08-10,0.52,233.3,4.9,5676.5,2.6,159.0,1304,898.0,28.4,819.4,,11.1,57.5,MMI
TD023,11,"LIDET_ALL",I,0,"ANGE",R,95026,1992-08-10,0.55,2114.8,6.4,9179.3,3.5,795.9,1460,445.8,81.9,540.0,,11.4,76.0,MMI
TD023,11,"LIDET_ALL",I,0,"ANGE",R,95037,1992-08-10,0.75,164.9,4.6,5888.0,2.3,123.5,973,825.1,28.8,773.2,,11.1,29.2,MMI
TD023,11,"LIDET_ALL",I,0,"ANSC",L,95018,1992-08-10,0.39,140.1,2.9,1901.8,0.5,114.7,3193,676.2,59.6,756.0,,11.7,70.7,MMI
TD023,11,"LIDET_ALL",I,0,"ANSC",L,95018,1992-08-10,0.39,129.1,2.9,2013.8,1.1,123.5,3510,673.3,67.1,698.4,,12.9,25.2,MMI
TD023,11,"LIDET_ALL",I,0,"BELU",L,95028,1992-08-10,1.36,67.4,38.1,12582.3,4.8,101.9,2688,2262.0,1152.7,281.3,,335.8,335.6,MMI
TD023,11,"LIDET_ALL",I,0,"BELU",L,95028,1992-08-10,1.36,22.1,34.3,12819.4,5.9,96.5,2288,2066.1,1242.4,173.8,,350.6,93.0,MMI
TD023,11,"LIDET_ALL",I,0,"BOER",L,95025,1992-08-10,0.41,820.1,5.2,4322.8,3.2,377.3,2448,474.5,56.8,724.4,,19.8,85.9,MMI
TD023,11,"LIDET_ALL",I,0,"BOER",L,95025,1992-08-10,0.91,793.6,4.3,4425.2,2.9,349.6,1993,403.5,60.7,674.9,,19.0,41.9,MMI
TD023,11,"LIDET_ALL",I,0,"BOGR",L,95008,1992-08-10,0.73,185.0,18.0,4545.1,2.7,129.2,1872,414.1,31.7,910.6,,7.7,91.6,MMI
TD023,11,"LIDET_ALL",I,0,"BOGR",L,95008,1992-08-10,0.72,142.3,16.8,4741.5,1.1,114.5,1515,382.0,33.8,823.1,,6.3,39.1,MMI
TD023,11,"LIDET_ALL",I,0,"CEGR",L,95031,1992-08-10,1.05,56.7,23.3,12702.8,2.4,47.0,5555,732.3,58.2,699.5,,10.2,109.5,MMI
TD023,11,"LIDET_ALL",I,0,"CEGR",L,95031,1992-08-10,1.09,21.6,20.6,12499.5,3.4,45.2,4849,636.4,56.9,589.0,,6.5,48.9,MMI
TD023,11,"LIDET_ALL",I,0,"CONU",L,95016,1992-08-10,0.55,940.3,15.5,31094.7,2.7,59.8,9529,3544.8,43.9,213.2,,12.7,114.2,MMI
TD023,11,"LIDET_ALL",I,0,"CONU",L,95016,1992-08-10,0.67,992.5,13.1,29000.1,2.2,52.5,7090,2777.8,38.8,936.8,,8.9,30.2,MMI
TD023,11,"LIDET_ALL",I,0,"DRGL",L,95006,1992-08-10,1.71,68.9,49.9,12231.3,4.6,67.3,14233,4063.9,276.2,98.8,,12.5,1430.5,MMI
TD023,11,"LIDET_ALL",I,0,"DRGL",L,95039,1992-08-10,1.53,88.0,54.2,15530.3,6.1,77.6,8875,4741.2,394.6,971.9,,18.4,1423.6,MMI
TD023,11,"LIDET_ALL",I,0,"DRGL",L,95006,1992-08-10,1.77,24.7,43.2,11828.3,4.1,57.6,11471,3519.2,270.2,938.6,,10.7,944.7,MMI
TD023,11,"LIDET_ALL",I,0,"DRGL",L,95039,1992-08-10,1.00,46.8,47.8,15332.8,4.4,67.8,7067,4071.1,362.7,898.9,,11.9,959.5,MMI
TD023,11,"LIDET_ALL",I,0,"DRGL",R,95004,1992-08-10,0.59,2132.3,21.5,18198.3,10.4,1158.9,6400,7356.4,194.7,455.7,,42.2,1239.8,MMI
TD023,11,"LIDET_ALL",I,0,"DRGL",R,95004,1992-08-10,0.59,2206.0,17.2,17063.8,8.7,949.9,5248,5958.6,188.8,371.7,,33.8,798.8,MMI
TD023,11,"LIDET_ALL",I,0,"FAGR",L,95010,1992-08-10,0.67,41.2,23.5,5915.5,1.2,59.9,3680,1318.7,755.3,355.9,,38.3,68.7,MMI
TD023,11,"LIDET_ALL",I,0,"FAGR",L,95010,1992-08-10,0.68,6.1,21.4,6346.0,1.8,54.3,3847,1310.7,845.2,302.0,,21.4,24.7,MMI
TD023,11,"LIDET_ALL",I,0,"GOBA",W,95003,1992-08-10,0.10,28.0,1.2,4433.7,0.1,15.8,1766,256.7,23.3,147.1,,3.8,123.3,MMI
TD023,11,"LIDET_ALL",I,0,"GOBA",W,95003,1992-08-10,0.11,0.0,1.6,4348.0,0.4,14.5,1614,220.6,26.1,97.7,,2.2,69.1,MMI
TD023,11,"LIDET_ALL",I,0,"KOMY",L,95015,1992-08-10,0.75,76.5,17.3,7124.5,0.9,63.9,3431,802.1,143.5,406.8,,9.7,106.9,MMI
TD023,11,"LIDET_ALL",I,0,"KOMY",L,95015,1992-08-10,0.81,39.1,15.7,7333.8,1.3,61.5,3282,731.7,136.3,340.4,,7.9,27.3,MMI
TD023,11,"LIDET_ALL",I,0,"LATR",L,95030,1992-08-10,1.66,466.7,52.5,16349.5,10.2,250.8,10938,1498.7,97.5,985.7,,18.9,231.6,MMI
TD023,11,"LIDET_ALL",I,0,"LATR",L,95030,1992-08-10,1.70,411.5,46.8,16486.3,6.9,208.3,8641,1269.5,86.5,928.0,,13.7,100.5,MMI
TD023,11,"LIDET_ALL",I,0,"LITU",L,95021,1992-08-10,0.51,231.3,54.9,38982.6,4.4,89.0,6041,2023.8,277.2,320.7,,22.1,99.3,MMI
TD023,11,"LIDET_ALL",I,0,"LITU",L,95021,1992-08-10,0.21,191.7,46.6,37680.3,3.9,79.3,4424,1661.8,258.6,159.7,,18.1,34.6,MMI
TD023,11,"LIDET_ALL",I,0,"MYCE",L,95011,1992-08-10,1.77,54.9,70.6,9545.3,3.7,134.7,4259,2335.6,174.5,689.3,,23.0,1590.8,MMI
TD023,11,"LIDET_ALL",I,0,"MYCE",L,95011,1992-08-10,1.69,22.3,63.1,9517.8,1.8,132.6,3577,2148.1,167.1,605.4,,21.0,1105.0,MMI
TD023,11,"LIDET_ALL",I,0,"PIEL",L,95022,1992-08-10,0.18,363.0,9.6,2809.7,0.8,72.3,440,837.4,120.0,155.9,,17.2,954.1,MMI
TD023,11,"LIDET_ALL",I,0,"PIEL",L,95022,1992-08-10,0.52,389.2,8.8,2539.2,0.8,73.2,150,798.3,124.7,100.7,,11.8,769.5,MMI
TD023,11,"LIDET_ALL",I,0,"PIEL",R,95002,1992-08-10,0.51,997.7,5.8,2169.3,2.3,271.4,960,610.3,81.7,588.3,,25.7,780.2,MMI
TD023,11,"LIDET_ALL",I,0,"PIEL",R,95002,1992-08-10,0.52,1105.9,5.1,2092.9,2.6,263.7,805,584.5,73.1,495.5,,22.4,650.9,MMI
TD023,11,"LIDET_ALL",I,0,"PIRE",L,95029,1992-08-10,0.39,249.2,12.7,3025.2,1.8,112.9,1666,624.9,732.6,440.2,,36.4,112.7,MMI
TD023,11,"LIDET_ALL",I,0,"PIRE",L,95029,1992-08-10,0.41,245.3,11.9,3039.2,2.0,109.6,1371,578.3,799.5,386.9,,29.2,32.4,MMI
TD023,11,"LIDET_ALL",I,0,"PIRE",R,95036,1992-08-10,1.06,1717.8,16.8,15394.5,25.8,1111.7,4619,4875.6,70.0,231.3,,34.0,1017.6,MMI
TD023,11,"LIDET_ALL",I,0,"PIRE",R,95036,1992-08-10,0.53,1823.3,13.8,15320.5,22.6,1016.8,3955,4406.1,59.4,56.8,,35.3,688.2,MMI
TD023,11,"LIDET_ALL",I,0,"PIST",L,95020,1992-08-10,0.40,466.7,32.1,9504.1,3.6,161.1,1248,2230.5,918.2,605.8,,44.1,188.6,MMI
TD023,11,"LIDET_ALL",I,0,"PIST",L,95020,1992-08-10,0.50,490.7,29.2,9601.9,2.4,148.8,1014,2114.9,1038.9,549.5,,45.8,130.9,MMI
TD023,11,"LIDET_ALL",I,0,"POTR",L,95005,1992-08-10,0.49,92.6,15.5,20481.1,4.5,114.5,3837,3181.8,136.5,681.3,,69.0,78.3,MMI
TD023,11,"LIDET_ALL",I,0,"POTR",L,95005,1992-08-10,0.52,41.6,13.1,19346.3,4.5,108.1,3448,2724.7,133.4,463.4,,66.4,27.9,MMI
TD023,11,"LIDET_ALL",I,0,"PSME",L,95017,1992-08-10,0.60,2298.5,20.3,11094.5,8.0,1033.1,1256,776.0,897.3,361.7,,21.2,158.1,MMI
TD023,11,"LIDET_ALL",I,0,"PSME",L,95017,1992-08-10,0.67,2290.6,17.1,10887.1,6.9,817.7,859,607.4,879.0,192.2,,21.5,53.5,MMI
TD023,11,"LIDET_ALL",I,0,"PSTD",R,95035,1992-08-10,1.04,409.7,16.0,4084.7,2.4,104.8,3719,1012.5,591.6,132.3,,60.7,95.9,MMI
TD023,11,"LIDET_ALL",I,0,"PSTD",L,95040,1992-08-10,1.02,412.2,17.1,4306.4,2.3,104.2,4046,1093.6,600.2,153.0,,57.1,154.6,MMI
TD023,11,"LIDET_ALL",I,0,"PSTD",R,95035,1992-08-10,1.00,452.1,15.1,4069.2,2.7,99.9,3591,975.3,627.3,85.3,,54.5,41.9,MMI
TD023,11,"LIDET_ALL",I,0,"PSTD",L,95040,1992-08-10,1.02,465.3,15.4,4152.1,2.2,110.4,3748,1013.8,636.3,101.5,,59.1,28.2,MMI
TD023,11,"LIDET_ALL",I,0,"QUPR",L,95032,1992-08-10,0.91,110.6,34.7,7174.8,4.2,58.5,5405,1047.0,1713.3,670.8,,13.5,91.4,MMI
TD023,11,"LIDET_ALL",I,0,"QUPR",L,95038,1992-08-10,0.69,98.5,27.3,8629.2,3.5,56.4,3624,1148.5,2066.8,367.6,,12.1,82.2,MMI
TD023,11,"LIDET_ALL",I,0,"QUPR",L,95032,1992-08-10,0.94,88.9,31.6,7208.4,3.7,55.0,4602,971.8,1718.8,602.9,,9.1,33.8,MMI
TD023,11,"LIDET_ALL",I,0,"QUPR",L,95038,1992-08-10,1.65,67.7,24.9,8849.5,3.4,50.8,3052,997.8,1842.0,305.6,,10.1,30.5,MMI
TD023,11,"LIDET_ALL",I,0,"RHMA",L,95014,1992-08-10,0.19,213.4,12.8,10972.9,1.6,50.1,5371,1774.9,1272.1,631.2,,12.5,234.6,MMI
TD023,11,"LIDET_ALL",I,0,"RHMA",L,95014,1992-08-10,0.24,216.6,11.6,10447.6,3.7,44.0,4828,1582.6,1248.3,559.7,,10.5,69.8,MMI
TD023,11,"LIDET_ALL",I,0,"ROPS",L,95024,1992-08-10,2.06,345.2,21.7,8720.1,6.8,130.8,8428,2753.1,83.4,993.4,,11.3,124.0,MMI
TD023,11,"LIDET_ALL",I,0,"ROPS",L,95024,1992-08-10,2.19,184.1,19.5,8810.8,4.6,116.3,7144,2475.0,82.7,927.4,,9.0,39.0,MMI
TD023,11,"LIDET_ALL",I,0,"SPAL",L,95012,1992-08-10,0.39,443.0,14.9,3070.4,0.8,215.1,4958,3770.9,26.7,705.7,,5.8,28367.9,MMI
TD023,11,"LIDET_ALL",I,0,"SPAL",L,95027,1992-08-10,0.57,508.6,18.8,6337.4,0.8,342.1,6756,3625.9,227.1,636.7,,17.0,17308.8,MMI
TD023,11,"LIDET_ALL",I,0,"SPAL",L,95012,1992-08-10,0.44,433.5,12.2,2935.9,0.3,204.4,3041,3319.9,23.6,566.0,,4.3,14158.0,MMI
TD023,11,"LIDET_ALL",I,0,"SPAL",L,95027,1992-08-10,0.50,374.3,15.1,4090.4,1.1,310.7,5321,3443.4,95.0,519.9,,5.7,11738.7,MMI
