STCODE,FORMAT,SITE,SITENAME,LOCATION,LATDEG,LATMIN,LONGDEG,LONGMIN,ELEV,TEMP,PRECIP,AET,PET,BIOME,HLZ,VEG
TD023,6,"LIDET_AND","H.J. Andrews Experimental Forest (AND)","Oregon",44,14,122,11,500,8.6,2309,761,982,TEF,CTWF,"PSEUDOTSUGA MENZIESII-TSUGA HETEROPHYLLA"
TD023,6,"LIDET_ARC","Arctic Tundra (ARC)","Alaska",68,38,149,34,760,-7.0,327,284,423,TUN,SPDT,"TUSSOCK TUNDRA"
TD023,6,"LIDET_BCI","Barro Colorado Island (BCI)","Panama",9,10,79,51,30,25.6,2692,1368,1517,TRSF,TMF,"TRICHILIA TUBERCULATA-OTHERS"
TD023,6,"LIDET_BNZ","Bonanza Creek Experimental Forest (BNZ)","Alaska",64,45,148,0,300,-5.0,403,360,576,BTF,BMF,"PICEA GLUACA"
TD023,6,"LIDET_BSF","Blodgett Research Forest (BSF)","California",38,52,105,38,1300,14.4,1244,753,1097,TEF,WTDF,"ABIES CONCOLOR-CALOCEDRUS DECURRENS-PINUS PONDEROSA"
TD023,6,"LIDET_CDR","Cedar Creek Natural History Area (CDR)","Minnesota",45,24,93,12,230,5.5,823,733,1026,TW,CTS,"QUERCUS-SCHIZACHYRIUM"
TD023,6,"LIDET_CPR","Central Plains Experimental Range (CPR)","Colorado",40,49,104,46,1650,8.9,440,430,1202,TGS,CTS,"BOUTELOUA GRACILIS"
TD023,6,"LIDET_CWT","Coweeta Hydrological Laboratory (CWT)","North Carolina",35,0,83,30,700,12.5,1906,1173,1353,TDF,WTWF,"QUERCUS PRINUS-QUERCUS RUBRA-ACER RUBRUM"
TD023,6,"LIDET_GSF","Guanica State Forest (GSF)","Puerto Rico",17,57,65,52,80,26.3,508,502,1422,TRDF,TDF,"GUAYACAN-OTHERS"
TD023,6,"LIDET_HBR","Hubbard Brook Experimental Forest (HBR)","New Hampshire",43,56,71,45,300,5.0,1396,712,817,TDF,CTWF,"ACER SACCHARUM-FAGUS GRANDIFOLIA"
TD023,6,"LIDET_HFR","Harvard Forest (HFR)","Massachusetts",42,40,72,15,335,7.1,1152,851,1041,TDF,CTWF,"QUERCUS RUBRA-ACER RUBRUM"
TD023,6,"LIDET_JRN","Jornada Experimental Range (JRN)","New Mexico",32,30,106,45,1410,14.6,298,292,1666,WSDS,WTDB,"LARREA TRIDENTATA"
TD023,6,"LIDET_JUN","Juneau (JUN)","Alaska",58,0,134,0,100,4.4,2878,495,544,TRF,BRF,"TSUGA HETEROPHYLLA-PICEA SITCHENSIS"
TD023,6,"LIDET_KBS","Kellogg Biological Station (KBS)","Michigan",42,24,85,24,288,9.0,811,706,1007,TDF,CTWF,"CORN-SOYBEAN"
TD023,6,"LIDET_KNZ","Konza Prairie Research Natural Area (KNZ)","Kansas",39,5,96,35,366,12.8,791,747,1250,TGT,CTS,"ANDROPOGON GERADII"
TD023,6,"LIDET_LBS","La Selva Biological Station (LBS)","Costa Rica",10,0,83,0,35,25.0,4099,1699,1773,TRRF,TRF,""
TD023,6,"LIDET_LUQ","Luquillo Experimental Forest (LUQ)","Puerto Rico",18,19,65,49,350,23.0,3363,1234,1259,TRRF,TRF,"DACRYODES EXCELSA"
TD023,6,"LIDET_LVW","Loch Vale Watershed (LVW)","Colorado",40,17,105,39,3160,1.6,1096,851,1083,BTF,SAMF,"ABIES LASIOCARPA-PICEA ENGELMANNI"
TD023,6,"LIDET_MTV","Monte Verde (MTV)","Costa Rica",10,18,84,48,1550,17.7,2685,1084,1166,TREW,LMWF,""
TD023,6,"LIDET_NIN","North Inlet (Hobcaw Barony) (NIN)","South Carolina",33,30,79,13,2,18.1,1491,1206,1456,TDF,WTWF,"SPARTINA-JUNCUS-SALICORNIA"
TD023,6,"LIDET_NLK","North Temperate Lakes (NLK)","Wisconsin",46,0,89,40,500,4.4,677,649,884,TDF,CTWF,""
TD023,6,"LIDET_NWT","Niwot Ridge/Green Lakes Valley (NWT)","Colorado",40,3,105,37,3650,-3.7,1249,647,756,TUN,AWT,"ACOMASTYLIS ROSSII-DESCHAMPIA CAESPITOSA"
TD023,6,"LIDET_OLY","Olympic National Park (OLY)","Washington",47,50,123,53,150,10.0,1531,794,1044,TRF,CTRF,"PSEUDOTSUGA MENZIESII-TSUGA HETEROPHYLLA"
TD023,6,"LIDET_SEV","Sevilleta National Wildlife Refuge (SEV)","New Mexico",34,29,106,40,1572,16.0,254,252,1602,WSDS,WTDB,"BOUTELOUA ERIOPODA"
TD023,6,"LIDET_SMR","Santa Margarita Ecological Reserve (SMR)","California",33,30,117,45,500,16.4,240,236,1860,TS,WTTW,"CEANOTHUS GREGGII"
TD023,6,"LIDET_UFL","University of Florida (UFL)","Florida",29,45,82,30,35,21.0,1238,1166,1621,TDF,WTWF,"PINUS ELLIOTTII"
TD023,6,"LIDET_VCR","Virginia Coast Reserve (VCR)","Virginia",37,30,75,40,0,15.0,1138,993,1215,TDF,CTWF,"SPARTINA-DISTICHLIS-AMMOPHILA"
