Taxonomic Code,Highest common category,Division or Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Species,ITIS Code,Common Name
DRGL                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Rosidae                                                                                                                                                                                                 ,Euphorbiales                                                                                                                                                                                            ,,Euphorbiaceae                                                                                                                                                                                           ,,,Drypetes glauca,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28312 ' target='_blank'>28312</a>,
ABAM                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Abies                                                                                                                                                                                                   ,Abies amabilis                                                                                                                                                                                          ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=181824 ' target='_blank'>181824</a>,Pacific silver fir                                
ABCO                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Abies                                                                                                                                                                                                   ,Abies concolor                                                                                                                                                                                          ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=181826 ' target='_blank'>181826</a>,white fir                                         
ABGR                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Abies                                                                                                                                                                                                   ,Abies grandis                                                                                                                                                                                           ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183284 ' target='_blank'>183284</a>,grand fir                                         
ABLA2                                                                                                                                                                                                   ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Abies                                                                                                                                                                                                   ,Abies lasiocarpa                                                                                                                                                                                        ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=181830 ' target='_blank'>181830</a>,subalpine fir                                     
ABPR                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Abies                                                                                                                                                                                                   ,Abies procera                                                                                                                                                                                           ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=181835 ' target='_blank'>181835</a>,noble fir                                         
ABLA                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Caryophyllidae                                                                                                                                                                                          ,Caryophyllales                                                                                                                                                                                          ,,Nyctaginaceae                                                                                                                                                                                           ,,Abronia                                                                                                                                                                                                 ,Abronia latifolia                                                                                                                                                                                       ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19560 ' target='_blank'>19560</a>,coastal sand verbena                              
ACCI                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Rosidae                                                                                                                                                                                                 ,Sapindales                                                                                                                                                                                              ,,Aceraceae                                                                                                                                                                                               ,,Acer                                                                                                                                                                                                    ,Acer circinatum                                                                                                                                                                                         ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28740 ' target='_blank'>28740</a>,vine maple                                        
ACMA                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Rosidae                                                                                                                                                                                                 ,Sapindales                                                                                                                                                                                              ,,Aceraceae                                                                                                                                                                                               ,,Acer                                                                                                                                                                                                    ,Acer macrophyllum                                                                                                                                                                                       ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28748 ' target='_blank'>28748</a>,bigleaf maple                                     
ACMI                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Liliopsida                                                                                                                                                                                              ,Asteridae                                                                                                                                                                                               ,Asterales                                                                                                                                                                                               ,,Asteraceae                                                                                                                                                                                              ,,Achillea                                                                                                                                                                                                ,Achillea millefolium                                                                                                                                                                                    ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=35423 ' target='_blank'>35423</a>,common yarrow                                     
ACRU                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Magnoliidae                                                                                                                                                                                             ,Ranunculales                                                                                                                                                                                            ,,Ranunculaceae                                                                                                                                                                                           ,,Actaea                                                                                                                                                                                                  ,Actaea rubra                                                                                                                                                                                            ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18723 ' target='_blank'>18723</a>,red baneberry                                     
